"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","Bailey Lake Rd","BALY07","Bailey Lake Rd [Alt] to Hahn Rd","Bailey Lake Loop","Gravel","Public",NA,"BALY04, BALY06, BALY08, BALY13",2024-03-03 17:12:26.095583,2024-03-05 17:08:47.92938,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY08","Bailey Lake Loop","Holvenstot Rd","Gravel","Public",NA,"BALY07, BALY13, BALY09, HLVS02",2024-03-03 17:12:24.577456,2024-03-05 17:08:48.032322,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY09","Holvenstot Rd","McConkey Rd","Gravel","Public",NA,"BALY08, HLVS02, BALY10, MCNY03",2024-03-03 17:12:24.550489,2024-03-05 17:08:48.056307,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY10","McConkey Rd","Unnamed from Bailey Lake Rd to FR241","Gravel","Public",NA,"BALY09, MCNY03, BALY11, TRBLY01",2024-03-03 17:12:22.176584,2024-03-05 17:08:48.074297,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY11","Unnamed from Bailey Lake Rd to FR241","Bailey Lake Rd [Alt] to FR241","Gravel","Public",NA,"BALY10, TRBLY01, BALY12",2024-03-03 17:12:22.146921,2024-03-05 17:08:48.092287,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY12","Bailey Lake Rd [Alt] to FR241","FR241","Gravel","Public",NA,"BALY11, BLDU99",2024-03-03 17:12:20.626562,2024-03-05 17:08:48.110277,"EXISTING"
"Iron River Area","Bailey Lake Loop","BALY13","Bailey Lake Rd [Alt] to Hahn Rd","Hahn Rd","Offroad","Public",NA,"BALY05, BALY06, BALY07, BALY08",2024-03-03 17:12:18.842606,2024-03-05 17:08:48.125267,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT01","Bradfield Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BRDF03, BRDF04, BBLT02, TRBB01",2023-04-25 16:06:12.522541,2024-03-05 17:08:48.144276,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT02","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT01, TRBB01, BBLT03, TRBB02",2023-04-25 16:06:21.758835,2024-03-05 17:08:48.274183,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT03","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT02, TRBB03, BBLT04, TRBB05",2023-04-25 16:06:28.593697,2024-03-05 17:08:48.293171,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT04","Unnamed off Banana Belt Rd","ATV/Snow Trail 17","Gravel","Public",NA,"BBLT03, TRBB05, BBLT05",2023-04-25 16:06:34.668337,2024-03-05 17:08:48.315159,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT05","ATV/Snow Trail 17","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT04, BBLT06, TRBB06",2023-04-25 16:06:41.576286,2024-03-05 17:08:48.331148,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT06","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT05, TRBB06, BBLT07",2023-04-25 16:06:48.262705,2024-03-05 17:08:48.354134,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT07","Unnamed off Banana Belt Rd","North Country Trail","Gravel","Public",NA,"BBLT06, BBLT08, NCTBF017, NCTBF018, TRBB10",2023-04-25 16:06:55.093264,2024-03-05 17:08:48.471069,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT08","North Country Trail","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT07, NCTBF017, NCTBF018, TRBB10, BBLT09, TRBB30",2024-02-27 21:44:42.728209,2024-03-05 17:08:48.484062,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT09","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT08, TRBB30, BBLT10, TRBB32",2024-02-27 21:44:42.52635,2024-03-05 17:08:48.502897,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT10","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT09, TRBB32, BBLT11, TRBB33",2024-02-27 21:44:52.645102,2024-03-05 17:08:48.531887,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT11","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT10, TRBB33, BBLT12, TRBB20",2024-02-27 21:45:02.286674,2024-03-05 17:08:48.545858,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT12","Unnamed off Banana Belt Rd","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT11, TRBB20, BBLT13, TRBB35",2024-02-27 21:45:12.356785,2024-03-05 17:08:48.655796,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT13","Unnamed off Banana Belt Rd","Pero Rd [East]","Gravel","Public",NA,"BBLT12, TRBB35, BBLT14, PERO12",2024-02-27 21:46:26.552954,2024-03-05 17:08:48.671787,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT14","Pero Rd [East]","Pero Rd [West]","Gravel","Public",NA,"BBLT13, PERO12, BBLT15, PERO11",2024-02-27 21:46:26.523975,2024-03-05 17:08:48.688778,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT15","Pero Rd [West]","Unnamed off Banana Belt Rd","Gravel","Public",NA,"BBLT14, PERO11, BBLT16, TRBB49",2024-02-27 21:46:25.969225,2024-03-05 17:08:48.744745,"EXISTING"
"Iron River Area","Banana Belt / Stephans Rd","BBLT16","Unnamed off Banana Belt Rd","Moreland Lake Rd","Gravel","Public",NA,"BBLT15, TRBB49, BBLT17, MRLD01",2024-02-27 21:46:25.938763,2024-03-05 17:08:48.914646,"EXISTING"
